company,industry,title,street,city,state,postal,latitude,longitude,description,salary
Mybuzz,Research and Development,Professor,3767 Del Mar Street,Saint Petersburg,FL,33710,27.7898,-82.7243,Distributed attitude-oriented alliance,$134328.74
Browsecat,Human Resources,Quality Engineer,864 Dwight Court,Miami,FL,33283,25.5584,-80.4582,Multi-layered scalable adapter,$58640.48
Skiba,Product Management,Electrical Engineer,6 Tomscot Junction,College Station,TX,77844,30.6521,-96.341,Streamlined 4th generation leverage,$194774.37
Vipe,Sales,Structural Engineer,08 Forest Crossing,Naples,FL,33961,26.045,-81.6669,Implemented intangible implementation,$196410.77
Voomm,Product Management,VP Accounting,1 Arapahoe Trail,New Orleans,LA,70149,30.033,-89.8826,Vision-oriented secondary task-force,$179442.28
Fivespan,Engineering,Mechanical Systems Engineer,009 Welch Point,Homestead,FL,33034,25.2846,-80.6246,Multi-layered stable standardization,$87455.41
Linkbuzz,Marketing,Automation Specialist I,005 Sage Way,Albuquerque,NM,87115,35.0549,-106.5461,Advanced systemic conglomeration,$110480.44
Jaxworks,Support,Graphic Designer,703 Brown Circle,Brockton,MA,02305,41.9705,-70.7014,Quality-focused fresh-thinking projection,$102033.13
Omba,Product Management,Nurse,4 Lakewood Alley,Simi Valley,CA,93094,34.0324,-119.1343,Seamless fresh-thinking hardware,$133507.90
Yamia,Marketing,Editor,5 Sullivan Junction,Denver,CO,80223,39.7002,-105.0028,Enterprise-wide mobile data-warehouse,$61212.22
Blogpad,Product Management,Sales Representative,04 Harper Junction,Tuscaloosa,AL,35405,33.1617,-87.5144,Mandatory empowering internet solution,$45789.12
Skalith,Human Resources,Marketing Manager,9144 Vera Pass,Santa Cruz,CA,95064,36.9959,-122.0578,Multi-tiered local interface,$163369.10
Twitterbridge,Product Management,Librarian,9207 Fallview Center,Littleton,CO,80126,39.5437,-104.9691,Inverse responsive architecture,$175442.91
Chatterbridge,Services,Safety Technician IV,52 Chinook Center,Chicago,IL,60604,41.8784,-87.633,Exclusive leading edge benchmark,$112142.71
Flashspan,Sales,Information Systems Manager,523 Ludington Parkway,Washington,DC,20029,38.8933,-77.0146,Multi-channelled client-server workforce,$54140.02
Chatterbridge,Accounting,Help Desk Operator,3 Morningstar Way,Minneapolis,MN,55423,44.8756,-93.2553,Devolved dedicated customer loyalty,$129064.88
Yakitri,Product Management,Paralegal,5336 Scoville Pass,Durham,NC,27705,36.0218,-78.9478,Down-sized incremental focus group,$86605.39
Camimbo,Business Development,Administrative Officer,264 Hovde Drive,Salt Lake City,UT,84130,40.6681,-111.9083,Quality-focused analyzing definition,$193395.14
Zoomdog,Marketing,Graphic Designer,235 Village Green Junction,Portland,OR,97240,45.5806,-122.3748,Enterprise-wide dynamic analyzer,$52820.31
Twimbo,Human Resources,Editor,85 Texas Road,Sacramento,CA,94257,38.3774,-121.4444,Universal foreground strategy,$104230.66
Tazzy,Accounting,Senior Developer,0398 Springview Alley,Roanoke,VA,24004,37.2742,-79.9579,Front-line homogeneous instruction set,$125071.11
Viva,Marketing,Environmental Tech,55766 Valley Edge Parkway,New York City,NY,10270,40.7069,-74.0082,Cross-group executive core,$183145.93
Yozio,Human Resources,Professor,32741 Randy Way,Cleveland,OH,44177,41.6857,-81.6728,Grass-roots even-keeled artificial intelligence,$65339.69
Rhyloo,Human Resources,Pharmacist,510 Banding Park,Kansas City,MO,64187,39.035,-94.3567,Enterprise-wide bandwidth-monitored open architecture,$170494.13
Centizu,Human Resources,VP Sales,9 Loomis Street,Saint Petersburg,FL,33715,27.6705,-82.7119,User-centric multimedia collaboration,$185694.94
Twitterlist,Training,Biostatistician I,8 Center Road,Albany,NY,12237,42.6149,-73.9708,Mandatory uniform conglomeration,$153549.30
Flipbug,Engineering,Civil Engineer,73337 Kings Trail,Carson City,NV,89714,39.1678,-119.7764,Multi-lateral responsive policy,$110319.25
Shufflester,Legal,Speech Pathologist,1 Prairie Rose Terrace,Boston,MA,02216,42.3389,-70.9196,Function-based object-oriented methodology,$90662.14
Yodel,Engineering,General Manager,9501 La Follette Alley,Gainesville,GA,30506,34.3562,-83.8882,Extended hybrid capacity,$152936.59
Jaxbean,Human Resources,Marketing Manager,2 Moose Center,Sacramento,CA,94280,38.3774,-121.4444,User-centric user-facing hub,$50489.19
Yodo,Support,Mechanical Systems Engineer,7 Pearson Trail,Chicago,IL,60663,41.8119,-87.6873,Operative value-added intranet,$135102.57
Photospace,Research and Development,Environmental Specialist,03632 6th Point,Greensboro,NC,27409,36.0777,-79.9086,Optimized 4th generation Graphic Interface,$111790.66
Devshare,Human Resources,Senior Financial Analyst,9840 Corry Way,New Haven,CT,06538,41.3657,-72.9275,Mandatory fault-tolerant frame,$90708.63
Livefish,Services,VP Sales,9 Hanson Plaza,San Francisco,CA,94110,37.7509,-122.4153,Multi-lateral high-level installation,$188276.97
Tazzy,Support,Physical Therapy Assistant,4 Sachtjen Street,New Orleans,LA,70174,30.033,-89.8826,Realigned motivating projection,$110450.90
Vitz,Services,Help Desk Operator,5 Shoshone Street,Atlanta,GA,30340,33.8932,-84.2539,Diverse client-driven migration,$97327.00
Rooxo,Business Development,Computer Systems Analyst I,82008 Northland Court,Waterbury,CT,06721,41.3657,-72.9275,Distributed heuristic database,$67337.36
Avaveo,Research and Development,Sales Representative,72450 Saint Paul Street,Houston,TX,77276,29.7575,-95.3668,Grass-roots user-facing local area network,$117759.97
Gabcube,Marketing,Account Executive,7 Prairie Rose Parkway,Baltimore,MD,21203,39.2847,-76.6205,Upgradable clear-thinking productivity,$70111.74
Quaxo,Engineering,Desktop Support Technician,9396 Portage Parkway,Melbourne,FL,32941,27.9246,-80.5235,Synchronised system-worthy collaboration,$58617.14
Zoomlounge,Human Resources,Software Consultant,89 Quincy Crossing,Chicago,IL,60641,41.9453,-87.7474,Proactive systematic policy,$124462.05
Tanoodle,Marketing,Analog Circuit Design manager,1142 Vera Avenue,Seattle,WA,98133,47.7377,-122.3431,Re-contextualized leading edge analyzer,$197735.79
Gigaclub,Human Resources,Research Nurse,56660 Ridgeview Trail,Birmingham,AL,35263,33.5225,-86.8094,Sharable clear-thinking data-warehouse,$104115.88
Shuffledrive,Business Development,Help Desk Operator,38 Scoville Road,Denver,CO,80223,39.7002,-105.0028,Devolved incremental utilisation,$153004.12
Snaptags,Research and Development,Database Administrator I,567 Oakridge Trail,Indianapolis,IN,46239,39.7265,-86.0005,Fully-configurable human-resource algorithm,$63795.90
Twimbo,Product Management,Account Executive,1416 Bunker Hill Lane,Nashville,TN,37240,36.1866,-86.7852,Versatile hybrid workforce,$185665.43
Buzzster,Marketing,Civil Engineer,5 Miller Park,Lakeland,FL,33805,28.072,-81.9609,Reactive next generation throughput,$71749.73
Voomm,Legal,Accountant IV,5 Sunnyside Plaza,Orlando,FL,32885,28.5456,-81.3782,Total optimal capability,$170851.04
Midel,Marketing,Actuary,08115 Forest Run Place,Rockford,IL,61105,42.3254,-89.1705,Profound solution-oriented time-frame,$193080.78
Midel,Training,Analyst Programmer,31033 1st Plaza,Shreveport,LA,71105,32.4589,-93.7143,Horizontal mission-critical hierarchy,$44474.21
Realpoint,Services,Product Engineer,091 Bluejay Junction,Washington,DC,20508,38.8933,-77.0146,Stand-alone analyzing access,$57433.21
Viva,Engineering,Assistant Media Planner,26342 7th Pass,Fargo,ND,58106,46.9346,-97.2297,Programmable multi-tasking algorithm,$64072.52
Skipfire,Accounting,Staff Accountant IV,3 Lakewood Gardens Way,Philadelphia,PA,19093,40.0018,-75.1179,Persistent scalable firmware,$93207.83
Trilia,Accounting,Systems Administrator II,8126 Dixon Terrace,Louisville,KY,40298,38.189,-85.6768,Phased tertiary encryption,$96951.03
Twitternation,Product Management,Cost Accountant,0 Spohn Street,Phoenix,AZ,85062,33.2765,-112.1872,Diverse incremental adapter,$126730.43
Aimbu,Accounting,Cost Accountant,34 Shasta Lane,El Paso,TX,79977,31.6948,-106.3,Compatible transitional emulation,$51136.30
Voonte,Human Resources,Health Coach IV,1481 3rd Plaza,Fort Lauderdale,FL,33345,26.1654,-80.2959,Managed regional attitude,$76921.51
Blogtags,Product Management,Recruiting Manager,814 Oakridge Court,Chicago,IL,60619,41.7458,-87.6054,Implemented coherent challenge,$45751.28
Livefish,Legal,Quality Engineer,37 Kipling Hill,Washington,DC,20078,38.8933,-77.0146,Synergistic multi-tasking help-desk,$182843.31
Dabvine,Services,Account Representative II,003 Nevada Place,Salt Lake City,UT,84115,40.7145,-111.8931,Adaptive next generation implementation,$165344.68
Mynte,Sales,Software Consultant,07 Commercial Road,Tuscaloosa,AL,35405,33.1617,-87.5144,Decentralized logistical toolset,$160090.27
Nlounge,Legal,Recruiter,51650 Commercial Road,Indianapolis,IN,46247,39.7795,-86.1328,Monitored optimal installation,$63972.32
Tagfeed,Training,Structural Engineer,14112 Waubesa Crossing,Denver,CO,80279,39.7388,-104.4083,Total system-worthy neural-net,$103060.79
Thoughtblab,Product Management,Software Consultant,6 Prentice Circle,Boston,MA,02104,42.3389,-70.9196,User-centric motivating strategy,$110562.84
Tekfly,Training,Research Assistant II,599 Prentice Crossing,Minneapolis,MN,55412,45.0242,-93.302,Focused fresh-thinking local area network,$195683.19
Livefish,Accounting,Project Manager,6195 Algoma Terrace,Arlington,TX,76016,32.6889,-97.1905,Right-sized 6th generation focus group,$72836.31
Kwideo,Sales,Staff Scientist,87634 Del Sol Center,Amarillo,TX,79176,35.1885,-101.8165,Virtual empowering analyzer,$144491.40
Youtags,Training,Community Outreach Specialist,73 Killdeer Circle,Cheyenne,WY,82007,41.1084,-104.8107,Optimized needs-based array,$127606.93
Ooba,Training,Web Designer III,65 Lukken Place,Cincinnati,OH,45208,39.1361,-84.4355,Quality-focused systemic task-force,$63933.57
Fliptune,Legal,Payment Adjustment Coordinator,476 Barnett Circle,Brooklyn,NY,11241,40.6451,-73.945,Expanded cohesive implementation,$180174.90
Aivee,Services,Desktop Support Technician,08 Esch Point,Morgantown,WV,26505,39.6505,-79.944,Customizable scalable groupware,$103162.50
Feedfish,Sales,Research Assistant I,85 Heffernan Drive,Macon,GA,31296,32.8067,-83.6913,Optional systemic infrastructure,$199037.38
Wikivu,Engineering,Quality Control Specialist,6 Dennis Junction,Young America,MN,55573,45.0159,-93.4719,Future-proofed 5th generation circuit,$142208.69
Lajo,Marketing,Environmental Tech,431 Del Mar Pass,Amarillo,TX,79116,35.2454,-101.999,Object-based needs-based policy,$43151.99
Edgetag,Research and Development,Developer II,46 Cardinal Junction,Mesa,AZ,85210,33.3887,-111.8428,Persistent object-oriented success,$53740.77
Katz,Research and Development,Nurse Practicioner,88 Derek Junction,Miami,FL,33134,25.768,-80.2714,Universal transitional benchmark,$66188.52
Twinte,Human Resources,Budget/Accounting Analyst IV,2 Emmet Avenue,Washington,DC,20268,38.8933,-77.0146,Up-sized upward-trending support,$68640.51
Aimbu,Training,Senior Editor,50928 Sommers Crossing,Saint Louis,MO,63180,38.6531,-90.2435,Programmable logistical focus group,$131067.32
Avamm,Product Management,Registered Nurse,93705 Northview Crossing,Minneapolis,MN,55412,45.0242,-93.302,Re-engineered solution-oriented array,$142586.34
Livetube,Business Development,Senior Financial Analyst,7 Westerfield Trail,Zephyrhills,FL,33543,28.2059,-82.3063,Realigned grid-enabled moderator,$120338.19
InnoZ,Legal,Research Assistant II,3 Hagan Way,Washington,DC,20530,38.8976,-77.027,Optimized optimizing installation,$147618.09
Browsebug,Training,Tax Accountant,61 Golf Parkway,Lexington,KY,40576,38.0283,-84.4715,Inverse asymmetric circuit,$144554.01
Katz,Engineering,Senior Quality Engineer,03655 Dunning Way,El Paso,TX,88558,31.6948,-106.3,Public-key interactive framework,$170753.68
Edgetag,Services,Graphic Designer,10 Columbus Pass,Irving,TX,75062,32.8479,-96.974,Open-source tertiary methodology,$115683.50
Tagopia,Product Management,Actuary,6069 Schiller Terrace,Atlanta,GA,30311,33.723,-84.4702,Expanded stable capacity,$125332.56
Einti,Product Management,Human Resources Assistant I,900 Pleasure Circle,Reno,NV,89595,40.5412,-119.5869,Robust motivating data-warehouse,$74213.18
Edgewire,Sales,Office Assistant IV,63713 Corry Place,Whittier,CA,90610,33.7866,-118.2987,Business-focused intermediate open architecture,$59563.90
Zoozzy,Support,Administrative Assistant III,41 Crowley Court,Washington,DC,20546,38.891,-77.0211,Multi-channelled zero tolerance hierarchy,$98549.63
Photobean,Engineering,Actuary,07 Talisman Lane,York,PA,17405,40.0086,-76.5972,Synchronised intermediate matrices,$161168.53
Browsebug,Support,Systems Administrator II,42153 Arizona Center,Columbus,OH,43210,40.0028,-83.0164,Multi-lateral 4th generation application,$96215.31
Buzzshare,Research and Development,VP Quality Control,137 Anhalt Point,Richmond,VA,23293,37.5242,-77.4932,Streamlined demand-driven collaboration,$92518.40
Gigabox,Support,Web Designer III,59 Mendota Crossing,Philadelphia,PA,19146,39.9379,-75.1794,Customer-focused static workforce,$197563.58
Wikido,Sales,Nurse Practicioner,4248 Kim Center,Buffalo,NY,14220,42.8441,-78.8182,Monitored object-oriented implementation,$195811.36
Skajo,Sales,GIS Technical Architect,3 Petterle Park,Dallas,TX,75205,32.826,-96.7843,Customer-focused client-server protocol,$79139.52
Lajo,Sales,GIS Technical Architect,0 Calypso Park,New York City,NY,10160,40.7808,-73.9772,Automated zero administration help-desk,$62036.65
Buzzbean,Services,Assistant Media Planner,6 Donald Hill,Virginia Beach,VA,23459,36.9216,-76.0171,Multi-channelled analyzing customer loyalty,$199665.02
Trudoo,Human Resources,Account Executive,534 Bayside Road,Memphis,TN,38150,35.2017,-89.9715,Streamlined systematic algorithm,$63791.61
Oodoo,Research and Development,Senior Financial Analyst,810 Eastwood Street,Erie,PA,16534,42.1827,-80.0649,Visionary fresh-thinking website,$81126.76
Tagopia,Services,Senior Financial Analyst,20924 Delaware Crossing,Milwaukee,WI,53285,43.0174,-87.5697,Customizable optimizing implementation,$82896.06
Fatz,Services,VP Accounting,3904 Upham Way,Sioux City,IA,51105,42.5032,-96.3829,Object-based zero defect workforce,$108857.54
Yakitri,Engineering,Information Systems Manager,721 Dottie Park,Albany,NY,12232,42.6149,-73.9708,Networked encompassing productivity,$87467.83
Bubbletube,Engineering,Pharmacist,78 Boyd Drive,Gatesville,TX,76598,31.3902,-97.7993,Optimized didactic moderator,$75376.45
Riffwire,Training,Systems Administrator II,5 Knutson Trail,Cape Coral,FL,33915,26.6599,-81.8934,Fundamental asynchronous task-force,$151850.76
Gigaclub,Human Resources,Actuary,9627 Blaine Hill,Cincinnati,OH,45213,39.1802,-84.4204,Horizontal actuating concept,$175082.19
Aivee,Product Management,Executive Secretary,59837 Eastwood Place,Mobile,AL,36689,30.6589,-88.178,Automated human-resource success,$87876.65
Leenti,Human Resources,Clinical Specialist,3804 Golf View Way,Tampa,FL,33610,27.9951,-82.4046,Open-source secondary artificial intelligence,$47039.96
Flashpoint,Human Resources,Financial Advisor,23616 Ilene Street,Wilmington,DE,19892,39.5645,-75.597,Organic dynamic firmware,$132828.27
Wordpedia,Accounting,Accounting Assistant II,8178 Everett Trail,Charleston,WV,25336,38.2968,-81.5547,Decentralized asymmetric middleware,$113532.46
Skidoo,Human Resources,Operator,29325 Dapin Place,Little Rock,AR,72222,34.7519,-92.3925,Reduced demand-driven installation,$100801.06
Avaveo,Research and Development,Staff Scientist,9 Arkansas Plaza,Rochester,NY,14619,43.1367,-77.6481,Optimized non-volatile data-warehouse,$160222.08
Pixonyx,Sales,Health Coach III,2752 Northport Alley,Indianapolis,IN,46221,39.7509,-86.1924,Pre-emptive hybrid strategy,$50031.20
Demivee,Human Resources,Business Systems Development Analyst,962 Hallows Plaza,Shawnee Mission,KS,66210,38.9273,-94.7143,Advanced 24/7 time-frame,$119301.64
Jamia,Engineering,Health Coach IV,97863 Old Gate Circle,Brockton,MA,02405,41.9705,-70.7014,Up-sized static ability,$126135.99
Plambee,Human Resources,Environmental Specialist,04314 Crescent Oaks Circle,Washington,DC,20268,38.8933,-77.0146,Digitized analyzing migration,$173422.48
Jetwire,Sales,General Manager,65501 Dawn Crossing,Orlando,FL,32868,28.5663,-81.2608,Focused 6th generation implementation,$107959.40
Fadeo,Support,Web Developer IV,3 Fallview Lane,Oklahoma City,OK,73190,35.5514,-97.4075,Reverse-engineered zero defect initiative,$110235.14
Flipbug,Engineering,Statistician I,2961 Clyde Gallagher Pass,Macon,GA,31210,32.8926,-83.7455,Grass-roots national paradigm,$144163.93
Oyoba,Research and Development,Assistant Professor,4 Tennyson Point,Murfreesboro,TN,37131,35.8596,-86.421,Monitored directional customer loyalty,$194651.02
Quaxo,Legal,Account Coordinator,4 Golf Center,Asheville,NC,28805,35.6004,-82.4918,Triple-buffered upward-trending policy,$74716.38
Shufflester,Accounting,Project Manager,0 Oxford Lane,Nashville,TN,37228,36.1901,-86.8053,Persevering composite standardization,$169156.33
Feedspan,Research and Development,Occupational Therapist,344 Colorado Center,Wichita,KS,67230,37.6808,-97.1558,Quality-focused full-range instruction set,$87118.13
Blogpad,Legal,Operator,4 Muir Circle,New York City,NY,10014,40.7339,-74.0054,Fully-configurable intangible migration,$41672.52
Skinix,Training,Marketing Manager,696 Manitowish Park,Saint Louis,MO,63180,38.6531,-90.2435,Devolved stable archive,$119755.01
Flashspan,Legal,Food Chemist,66438 Heath Circle,Atlanta,GA,30386,33.8444,-84.474,Cross-platform local structure,$102479.92
Jaxnation,Accounting,Occupational Therapist,59937 Sommers Drive,Nashville,TN,37235,36.1866,-86.7852,Distributed global strategy,$154034.41
Buzzshare,Marketing,Nurse,571 Northland Junction,Santa Fe,NM,87592,35.5212,-105.9818,Face to face 5th generation capacity,$69009.06
Buzzdog,Accounting,Web Designer II,2 Vermont Center,Pensacola,FL,32526,30.4756,-87.3179,Fully-configurable global flexibility,$50026.10
Ooba,Accounting,Sales Representative,2529 Nancy Road,Hampton,VA,23668,37.0206,-76.3377,User-centric intangible intranet,$51013.15
Dynabox,Accounting,Accountant IV,256 Clove Point,Saint Paul,MN,55123,44.806,-93.1409,Horizontal radical hardware,$119234.16
Thoughtworks,Business Development,Computer Systems Analyst II,11 Canary Point,Nashville,TN,37228,36.1901,-86.8053,Profound asymmetric approach,$155353.70
BlogXS,Engineering,Associate Professor,7150 Buell Alley,Indianapolis,IN,46202,39.7851,-86.1595,Function-based needs-based model,$87953.37
Divavu,Services,Assistant Media Planner,1991 Del Sol Terrace,Huntington,WV,25709,38.1321,-82.4183,Open-source directional workforce,$116753.15
Jabbercube,Product Management,Quality Control Specialist,39766 Elgar Trail,Atlanta,GA,31106,33.8444,-84.474,Realigned upward-trending local area network,$96970.95
Edgewire,Human Resources,Junior Executive,75280 Dottie Lane,Kansas City,MO,64190,39.3432,-94.8516,Quality-focused fault-tolerant local area network,$80936.38
Zoomdog,Services,Executive Secretary,1861 Everett Circle,Jacksonville,FL,32220,30.329,-81.8176,Re-engineered hybrid encryption,$66995.93
Fadeo,Support,Account Coordinator,18 Scofield Junction,Indianapolis,IN,46239,39.7265,-86.0005,Exclusive 5th generation installation,$108196.77
Voonder,Marketing,Engineer IV,94 Sage Parkway,Amarillo,TX,79182,35.4015,-101.8951,Persistent directional structure,$44368.90
Brainlounge,Legal,Senior Cost Accountant,6 Fulton Street,Santa Fe,NM,87505,35.6219,-105.8688,Digitized uniform productivity,$163746.74
Skipstorm,Marketing,Environmental Tech,8 Killdeer Road,Minneapolis,MN,55436,44.9034,-93.374,Triple-buffered uniform portal,$104032.68
Blogtags,Human Resources,Compensation Analyst,2907 Hanover Drive,Aurora,IL,60505,41.7582,-88.2971,Multi-channelled contextually-based productivity,$98547.17
Meetz,Support,Clinical Specialist,856 Holmberg Trail,Seattle,WA,98166,47.4511,-122.353,Right-sized interactive parallelism,$192001.04
Livetube,Services,VP Sales,72124 Bluejay Avenue,Pompano Beach,FL,33075,26.1457,-80.4483,Optimized grid-enabled structure,$108078.87
Linkbridge,Training,Desktop Support Technician,617 Everett Road,Washington,DC,20442,38.896,-77.0177,Organic stable interface,$66456.92
Skiptube,Accounting,Accounting Assistant II,14894 Thackeray Junction,Salem,OR,97306,44.8685,-123.0438,Up-sized needs-based complexity,$168397.11
Twinder,Human Resources,Statistician I,1604 Texas Drive,Huntington,WV,25709,38.1321,-82.4183,Balanced real-time adapter,$110552.05
Linklinks,Services,Account Coordinator,0629 Fieldstone Avenue,Dallas,TX,75210,32.7699,-96.743,Up-sized even-keeled array,$79045.02
Aimbo,Marketing,Internal Auditor,9993 Manley Court,Morgantown,WV,26505,39.6505,-79.944,Digitized web-enabled help-desk,$118493.61
Skajo,Support,Systems Administrator III,87 Montana Alley,Salt Lake City,UT,84189,40.6681,-111.9083,Balanced object-oriented core,$95823.10
Browsetype,Human Resources,Data Coordiator,31831 Hollow Ridge Pass,Chicago,IL,60614,41.9229,-87.6483,Inverse non-volatile function,$177386.58
Skiba,Human Resources,Computer Systems Analyst I,19 Maple Wood Center,Dallas,TX,75251,32.9189,-96.7751,Horizontal background instruction set,$132553.71
Blogpad,Marketing,Design Engineer,9993 Everett Lane,Washington,DC,20029,38.8933,-77.0146,Versatile 24 hour frame,$126688.08
Gigashots,Sales,Desktop Support Technician,1391 Dapin Junction,San Antonio,TX,78278,29.4375,-98.4616,Versatile multi-tasking open system,$93121.18
Agimba,Marketing,Cost Accountant,1787 Cascade Place,Santa Monica,CA,90405,34.01,-118.4717,Seamless dedicated middleware,$168753.12
Fivebridge,Research and Development,Web Developer IV,45643 Summer Ridge Center,Hartford,CT,06120,41.786,-72.6758,Integrated responsive emulation,$112399.45
Wordware,Accounting,Structural Analysis Engineer,6040 Blaine Trail,Aurora,CO,80015,39.6255,-104.7874,Phased content-based archive,$157845.54
Gigashots,Sales,Cost Accountant,233 Boyd Alley,Kansas City,MO,64142,39.035,-94.3567,Synchronised scalable flexibility,$172857.68
Wordpedia,Legal,Developer II,6492 Hayes Plaza,Pensacola,FL,32511,30.4061,-87.2917,Self-enabling motivating support,$195676.76
Babbleblab,Legal,Quality Engineer,45 Walton Terrace,Mobile,AL,36605,30.6341,-88.0846,Fully-configurable upward-trending info-mediaries,$184380.04
Topicshots,Support,Structural Engineer,75 Eliot Point,Reno,NV,89519,39.4814,-119.8591,Face to face real-time infrastructure,$76970.78
Edgetag,Accounting,Chief Design Engineer,305 Nelson Court,Raleigh,NC,27610,35.7667,-78.6008,Organic 24 hour solution,$43365.39
Voomm,Research and Development,Chief Design Engineer,8102 Maple Point,Washington,DC,20310,38.8933,-77.0146,Multi-channelled client-server project,$47279.82
Flipstorm,Product Management,Senior Financial Analyst,7754 Vahlen Circle,Toledo,OH,43610,41.6767,-83.5573,Organized high-level website,$172483.08
Cogidoo,Support,Cost Accountant,7222 Dryden Place,Valdosta,GA,31605,30.946,-83.2474,Fully-configurable background system engine,$116936.67
Blogtags,Human Resources,VP Accounting,51 Crownhardt Hill,New York City,NY,10120,40.7506,-73.9894,Universal demand-driven superstructure,$178106.36
Devbug,Business Development,Research Associate,54 Meadow Valley Drive,Punta Gorda,FL,33982,26.9668,-81.9545,Multi-tiered static contingency,$151345.59
Rhynyx,Legal,Librarian,47 Emmet Lane,Peoria,IL,61614,40.7681,-89.6026,Ergonomic explicit structure,$58850.39
Kare,Human Resources,VP Accounting,958 Esch Plaza,Houston,TX,77206,29.834,-95.4342,Function-based encompassing attitude,$77535.75
Skimia,Business Development,Nurse,82 Haas Alley,Port Saint Lucie,FL,34985,27.3822,-80.409,Monitored 24/7 strategy,$113575.31
Gevee,Services,Executive Secretary,13187 Mockingbird Park,Reading,PA,19605,40.3886,-75.9328,Monitored intermediate productivity,$121622.25
Fivebridge,Engineering,Professor,46775 Rockefeller Parkway,San Antonio,TX,78215,29.4413,-98.4793,Networked national portal,$146309.93
Realbridge,Legal,Graphic Designer,6006 Lunder Terrace,Boise,ID,83705,43.5851,-116.2191,Horizontal regional system engine,$179700.06
Twitterwire,Support,Human Resources Manager,8 Kings Avenue,Albuquerque,NM,87115,35.0549,-106.5461,Phased full-range standardization,$171715.85
Skyvu,Legal,Associate Professor,40 Cascade Parkway,Ocala,FL,34474,29.1565,-82.2095,Optimized uniform interface,$60744.48
Kwilith,Accounting,Recruiter,7619 Bowman Road,Kansas City,MO,64160,39.2829,-94.409,Self-enabling upward-trending data-warehouse,$178221.16
Ainyx,Product Management,Professor,76 Village Green Center,Spokane,WA,99215,47.6536,-117.4317,Proactive global emulation,$116926.51
Edgepulse,Product Management,Teacher,6 Grover Trail,Miami,FL,33124,25.5584,-80.4582,Diverse intermediate intranet,$103496.11
Zoomlounge,Product Management,Associate Professor,58 Derek Trail,Saint Paul,MN,55115,45.071,-92.9391,Synchronised encompassing knowledge user,$149943.82
Fivechat,Support,VP Sales,78448 International Lane,Worcester,MA,01605,42.2894,-71.7888,Diverse systemic project,$72647.42
Feedfish,Legal,Quality Engineer,81949 Monterey Avenue,Oklahoma City,OK,73152,35.5514,-97.4075,Profit-focused interactive function,$180285.39
Thoughtbridge,Product Management,Health Coach III,60 Ramsey Street,Albany,NY,12247,42.6149,-73.9708,Ergonomic bandwidth-monitored projection,$136165.52
Kwilith,Research and Development,Structural Engineer,138 Superior Terrace,Northridge,CA,91328,33.7866,-118.2987,Integrated well-modulated collaboration,$84954.96
Rhyzio,Research and Development,Marketing Manager,21800 Milwaukee Circle,Evansville,IN,47747,37.9971,-87.575,Function-based web-enabled protocol,$63807.69
Agimba,Accounting,Automation Specialist IV,285 Bunting Street,Memphis,TN,38150,35.2017,-89.9715,Optimized holistic collaboration,$97853.08
Eare,Marketing,Librarian,43417 Hagan Avenue,Jefferson City,MO,65105,38.5309,-92.2493,Devolved executive local area network,$68322.99
Mycat,Research and Development,Physical Therapy Assistant,45 Packers Pass,Birmingham,AL,35254,33.5446,-86.9292,Secured dynamic migration,$47283.64
Linktype,Legal,Financial Analyst,16186 Northview Drive,Birmingham,AL,35279,33.5446,-86.9292,Cross-group cohesive approach,$128371.44
Blogspan,Research and Development,VP Quality Control,3046 Sundown Way,Brooklyn,NY,11254,40.6451,-73.945,Implemented tangible pricing structure,$113342.85
Kaymbo,Research and Development,Librarian,9 Sutteridge Lane,Pensacola,FL,32505,30.4481,-87.2589,Persistent mobile service-desk,$87963.22
Gabtype,Business Development,Graphic Designer,805 Mcguire Park,Fort Worth,TX,76121,32.7714,-97.2915,Networked uniform open system,$199407.24
Flipstorm,Legal,Computer Systems Analyst IV,75 Dennis Alley,Salt Lake City,UT,84120,40.695,-112.0001,Sharable 5th generation capability,$85764.65
Plajo,Legal,Statistician II,63157 Kim Pass,Saint Louis,MO,63180,38.6531,-90.2435,Configurable disintermediate collaboration,$153939.48
Oba,Training,Human Resources Assistant II,3754 Blaine Parkway,Miami,FL,33147,25.8507,-80.2366,Synergized dynamic portal,$41725.54
Edgetag,Engineering,Legal Assistant,22559 Larry Court,Sacramento,CA,94280,38.3774,-121.4444,Down-sized multi-tasking parallelism,$93008.36
Latz,Services,Clinical Specialist,33809 Esch Court,Washington,DC,20215,38.8933,-77.0146,Seamless scalable workforce,$191936.72
Oloo,Marketing,Programmer Analyst IV,15 Hanson Road,Montgomery,AL,36125,32.2334,-86.2085,Distributed value-added strategy,$198587.81
Wordpedia,Product Management,Office Assistant II,42950 Fairview Alley,South Bend,IN,46699,41.5968,-86.293,Public-key actuating application,$194374.69
Youbridge,Training,Food Chemist,8184 Blaine Alley,Trenton,NJ,08608,40.2204,-74.7622,Devolved composite analyzer,$172799.97
Oyoloo,Business Development,Help Desk Operator,9 Golf Course Plaza,Salt Lake City,UT,84140,40.7713,-111.9309,Open-source zero defect matrix,$76277.50
Centidel,Human Resources,Administrative Officer,87958 Canary Street,Arlington,TX,76011,32.7582,-97.1003,Object-based solution-oriented encoding,$81347.64
